"participant","age","age_bin","education","sex","subject","scenario","fitted_model","summed_nLL","rounds"
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"Memory","GP",458.28592822016,7
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"Memory","recency",553.060885371558,7
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"Memory","surprise+",567.161886753628,7
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"Memory","surprise+_static",1603.66581913892,21
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"NoMemory","full",500.448539370733,7
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"NoMemory","GP",621.799487327389,7
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"NoMemory","recency",506.061445586394,7
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"NoMemory","surprise+",447.482656925168,7
11,30,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",11,"NoMemory","surprise+_static",1486.76202120962,21
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"Memory","full",612.852313123431,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"Memory","GP",728.273644693022,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"Memory","recency",609.973364646409,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"Memory","surprise+",737.027724920827,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"Memory","surprise+_static",2060.30232032649,21
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"NoMemory","full",626.559231601209,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"NoMemory","GP",654.114755503952,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"NoMemory","recency",605.941330799591,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"NoMemory","surprise+",643.833226356555,7
12,63,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",12,"NoMemory","surprise+_static",1920.20280152195,21
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"Memory","full",571.744805745454,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"Memory","GP",681.918475287796,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"Memory","recency",558.022405882749,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"Memory","surprise+",707.926943537936,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"Memory","surprise+_static",2042.85146553679,21
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"NoMemory","full",613.422497384186,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"NoMemory","GP",630.858206061882,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"NoMemory","recency",617.039710273725,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"NoMemory","surprise+",643.067633836029,7
13,42,"38-47","Doctorate degree (PhD/other)","Male",13,"NoMemory","surprise+_static",1942.00320606172,21
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"Memory","full",588.909241323583,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"Memory","GP",682.734249119456,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"Memory","recency",585.093111237352,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"Memory","surprise+",685.717641220457,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"Memory","surprise+_static",1984.80542907879,21
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"NoMemory","full",605.616348678589,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"NoMemory","GP",690.40326340445,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"NoMemory","recency",609.083818400493,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"NoMemory","surprise+",710.26537372965,7
14,28,"28-37","Graduate degree (MA/MSc/MPhil/other)","Male",14,"NoMemory","surprise+_static",2011.56118132988,21
15,59,"58-67","High school diploma/A-levels","Male",15,"Memory","full",579.856067574361,7
15,59,"58-67","High school diploma/A-levels","Male",15,"Memory","GP",637.968849805873,7
15,59,"58-67","High school diploma/A-levels","Male",15,"Memory","recency",605.007131444548,7
15,59,"58-67","High school diploma/A-levels","Male",15,"Memory","surprise+",588.017209864416,7
15,59,"58-67","High school diploma/A-levels","Male",15,"Memory","surprise+_static",1903.43387321824,21
15,59,"58-67","High school diploma/A-levels","Male",15,"NoMemory","full",582.770617753745,7
15,59,"58-67","High school diploma/A-levels","Male",15,"NoMemory","GP",577.839840111256,7
15,59,"58-67","High school diploma/A-levels","Male",15,"NoMemory","recency",553.785856345718,7
15,59,"58-67","High school diploma/A-levels","Male",15,"NoMemory","surprise+",585.246904680363,7
15,59,"58-67","High school diploma/A-levels","Male",15,"NoMemory","surprise+_static",1731.04912675935,21
16,25,"18-27","Technical/community college","Male",16,"Memory","full",511.702292052168,7
16,25,"18-27","Technical/community college","Male",16,"Memory","GP",516.371251805806,7
16,25,"18-27","Technical/community college","Male",16,"Memory","recency",499.738568274094,7
16,25,"18-27","Technical/community college","Male",16,"Memory","surprise+",514.854933874862,7
16,25,"18-27","Technical/community college","Male",16,"Memory","surprise+_static",1573.06774108091,21
16,25,"18-27","Technical/community college","Male",16,"NoMemory","full",443.410763360629,7
16,25,"18-27","Technical/community college","Male",16,"NoMemory","GP",435.079279104355,7
16,25,"18-27","Technical/community college","Male",16,"NoMemory","recency",433.777353408312,7
16,25,"18-27","Technical/community college","Male",16,"NoMemory","surprise+",496.77490237208,7
16,25,"18-27","Technical/community college","Male",16,"NoMemory","surprise+_static",1368.50709482085,21
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"Memory","full",297.80164732731,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"Memory","GP",336.248914882299,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"Memory","recency",288.146188398144,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"Memory","surprise+",338.883074307543,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"Memory","surprise+_static",997.791079518005,21
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"NoMemory","full",378.380453140842,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"NoMemory","GP",458.641036993507,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"NoMemory","recency",373.985553197838,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"NoMemory","surprise+",418.052975565428,7
17,24,"18-27","Undergraduate degree (BA/BSc/other)","Female",17,"NoMemory","surprise+_static",1211.20000921801,21
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"Memory","full",487.971670370418,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"Memory","GP",646.331672468588,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"Memory","recency",561.625197196854,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"Memory","surprise+",536.941551137812,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"Memory","surprise+_static",1743.96806306324,21
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"NoMemory","full",578.139070636708,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"NoMemory","GP",617.345342771907,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"NoMemory","recency",615.686131145315,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"NoMemory","surprise+",689.003439403571,7
18,25,"18-27","Undergraduate degree (BA/BSc/other)","Male",18,"NoMemory","surprise+_static",1790.59732426507,21
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"Memory","full",610.326471602277,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"Memory","GP",708.294817856591,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"Memory","recency",609.537085659159,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"Memory","surprise+",689.008118331082,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"Memory","surprise+_static",2079.43736624751,21
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"NoMemory","full",625.29588488173,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"NoMemory","GP",662.774608645749,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"NoMemory","recency",618.496034436926,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"NoMemory","surprise+",645.135511020633,7
19,28,"28-37","Undergraduate degree (BA/BSc/other)","Male",19,"NoMemory","surprise+_static",1913.15133748053,21
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"Memory","full",540.65418306763,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"Memory","GP",486.793837197107,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"Memory","recency",529.173832361656,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"Memory","surprise+",494.169780358995,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"Memory","surprise+_static",1530.57233265476,21
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"NoMemory","full",506.419029887761,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"NoMemory","GP",476.706816751542,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"NoMemory","recency",473.921543294632,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"NoMemory","surprise+",482.190672130647,7
20,34,"28-37","Graduate degree (MA/MSc/MPhil/other)","Female",20,"NoMemory","surprise+_static",1466.07662566619,21
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"Memory","full",549.5601308172,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"Memory","GP",574.830957795371,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"Memory","recency",573.756003666455,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"Memory","surprise+",571.524214910644,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"Memory","surprise+_static",1707.09173274488,21
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"NoMemory","full",527.861546561114,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"NoMemory","GP",503.694849393661,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"NoMemory","recency",490.722297248385,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"NoMemory","surprise+",507.364776193078,7
21,38,"38-47","Undergraduate degree (BA/BSc/other)","Female",21,"NoMemory","surprise+_static",1547.10281912771,21
22,46,"38-47","Technical/community college","Male",22,"Memory","full",559.937902513998,7
22,46,"38-47","Technical/community college","Male",22,"Memory","GP",541.906231969125,7
22,46,"38-47","Technical/community college","Male",22,"Memory","recency",547.80538100489,7
22,46,"38-47","Technical/community college","Male",22,"Memory","surprise+",539.704054862393,7
22,46,"38-47","Technical/community college","Male",22,"Memory","surprise+_static",1673.5350492324,21
22,46,"38-47","Technical/community college","Male",22,"NoMemory","full",516.561336993125,7
22,46,"38-47","Technical/community college","Male",22,"NoMemory","GP",527.514645387653,7
22,46,"38-47","Technical/community college","Male",22,"NoMemory","recency",518.844379827791,7
22,46,"38-47","Technical/community college","Male",22,"NoMemory","surprise+",522.6232871249,7
22,46,"38-47","Technical/community college","Male",22,"NoMemory","surprise+_static",1538.39107940823,21
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"Memory","full",579.22057094483,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"Memory","GP",624.314552764566,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"Memory","recency",597.219500693207,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"Memory","surprise+",597.660612057406,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"Memory","surprise+_static",1813.13163874779,21
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"NoMemory","full",627.96046469236,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"NoMemory","GP",620.520117041896,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"NoMemory","recency",633.727310283898,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"NoMemory","surprise+",634.444922377776,7
23,58,"58-67","Graduate degree (MA/MSc/MPhil/other)","Female",23,"NoMemory","surprise+_static",1745.09163950437,21
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"Memory","full",587.254095808715,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"Memory","GP",720.153650917242,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"Memory","recency",582.850550410127,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"Memory","surprise+",744.655249668058,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"Memory","surprise+_static",2073.04503382391,21
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"NoMemory","full",608.336044566356,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"NoMemory","GP",674.211245985105,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"NoMemory","recency",623.857036419681,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"NoMemory","surprise+",665.261963376718,7
24,60,"58-67","Graduate degree (MA/MSc/MPhil/other)","Male",24,"NoMemory","surprise+_static",1983.48900134295,21
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"Memory","full",566.415576445128,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"Memory","GP",591.485139938876,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"Memory","recency",549.851247014251,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"Memory","surprise+",589.810440673648,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"Memory","surprise+_static",1742.68021366376,21
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"NoMemory","full",619.923718069069,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"NoMemory","GP",526.184117080963,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"NoMemory","recency",612.222104373223,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"NoMemory","surprise+",648.366041657405,7
25,50,"48-57","Secondary education (e.g. GED/GCSE)","Female",25,"NoMemory","surprise+_static",1864.22593216296,21
26,22,"18-27","High school diploma/A-levels","Female",26,"Memory","full",355.212947029385,7
26,22,"18-27","High school diploma/A-levels","Female",26,"Memory","GP",341.409346585468,7
26,22,"18-27","High school diploma/A-levels","Female",26,"Memory","recency",328.120379322613,7
26,22,"18-27","High school diploma/A-levels","Female",26,"Memory","surprise+",375.291952803408,7
26,22,"18-27","High school diploma/A-levels","Female",26,"Memory","surprise+_static",1039.0310738181,21
26,22,"18-27","High school diploma/A-levels","Female",26,"NoMemory","full",499.518333281601,7
26,22,"18-27","High school diploma/A-levels","Female",26,"NoMemory","GP",532.304363940094,7
26,22,"18-27","High school diploma/A-levels","Female",26,"NoMemory","recency",484.347937655266,7
26,22,"18-27","High school diploma/A-levels","Female",26,"NoMemory","surprise+",514.796322403038,7
26,22,"18-27","High school diploma/A-levels","Female",26,"NoMemory","surprise+_static",1528.71358160482,21
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"Memory","full",560.550365309169,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"Memory","GP",618.751475891269,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"Memory","recency",545.189946263146,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"Memory","surprise+",658.691972526814,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"Memory","surprise+_static",1803.65677822045,21
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"NoMemory","full",610.323681866395,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"NoMemory","GP",584.081648106091,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"NoMemory","recency",577.680555234847,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"NoMemory","surprise+",587.615890281588,7
27,42,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",27,"NoMemory","surprise+_static",1760.73107795946,21
28,43,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",28,"Memory","full",569.416545363128,7
28,43,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",28,"Memory","GP",692.142428870477,7
28,43,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",28,"Memory","recency",565.187233545384,7
28,43,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",28,"Memory","surprise+",655.841821081324,7
28,43,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",28,"Memory","surprise+_static",1916.35470161125,21
28,43,"38-47","Graduate degree (MA/MSc/MPhil/other)","Male",28,"NoMemory","full",603.816402417153,7
