"UID","env","scenario","trial","x","y","z","chosen"
"14",10,2,1,9,8,-0.07,98
"14",10,2,2,1,1,0.11,13
"14",10,2,3,0,1,-0.15,12
"14",10,2,4,1,0,0.2,2
"14",10,2,5,2,0,0.39,3
"14",10,2,6,2,0,0.39,3
"14",10,2,7,2,0,0.36,3
"14",10,2,8,2,0,0.39,3
"14",10,2,9,2,0,0.38,3
"14",10,2,10,2,0,0.37,3
"14",10,2,11,2,0,0.36,3
"14",10,2,12,2,0,0.39,3
"14",10,2,13,2,0,0.4,3
"14",10,2,14,3,0,0.44,4
"15",10,1,1,6,8,-0.05,95
"15",10,1,2,2,2,0.3,25
"15",10,1,3,2,1,0.37,14
"15",10,1,4,2,0,0.38,3
"15",10,1,5,1,0,0.17,2
"15",10,1,6,3,0,0.45,4
"15",10,1,7,4,0,0.28,5
"15",10,1,8,3,1,0.5,15
"15",10,1,9,3,2,0.5,26
"15",10,1,10,4,2,0.41,27
"15",10,1,11,4,1,0.37,16
"15",10,1,12,3,3,0.48,37
"15",10,1,13,3,1,0.49,15
"15",10,1,14,4,4,0.34,49
"16",13,2,1,8,5,0.06,64
"16",13,2,2,6,5,0.09,62
"16",13,2,3,8,3,0.18,42
"16",13,2,4,10,5,0.18,66
"16",13,2,5,8,7,-0.02,86
"16",13,2,6,4,5,-0.01,60
"16",13,2,7,2,5,-0.02,58
"16",13,2,8,0,5,0.07,56
"16",13,2,9,2,0,0,3
"16",13,2,10,4,2,-0.35,27
"16",13,2,11,7,0,0.09,8
"16",13,2,12,10,0,0.06,11
"16",13,2,13,5,8,-0.23,94
"16",13,2,14,1,4,0.14,46
"20",19,2,1,0,7,-0.5,78
"20",19,2,2,9,3,0.17,43
"20",19,2,3,10,2,0.19,33
"20",19,2,4,10,1,-0.11,22
"20",19,2,5,10,3,0.42,44
"20",19,2,6,10,4,0.51,55
"20",19,2,7,10,5,0.39,66
"20",19,2,8,10,6,0.19,77
"20",19,2,9,9,5,0.23,65
"20",19,2,10,9,4,0.31,54
"20",19,2,11,8,4,0.2,53
"20",19,2,12,8,5,0.16,64
"20",19,2,13,8,3,0.12,42
"20",19,2,14,8,6,0.03,75
"22",19,2,1,6,5,0.23,62
"22",19,2,2,6,5,0.24,62
"22",19,2,3,4,7,0.35,82
"22",19,2,4,4,8,0.21,93
"22",19,2,5,4,6,0.34,71
"22",19,2,6,4,5,0.22,60
"22",19,2,7,3,5,0.07,59
"22",19,2,8,6,7,0.11,84
"22",19,2,9,1,6,-0.22,68
"22",19,2,10,3,6,0.21,70
"22",19,2,11,3,4,-0.01,48
"22",19,2,12,8,2,-0.09,31
"22",19,2,13,9,8,0,98
"22",19,2,14,3,3,0.04,37
"25",11,1,1,3,7,0.16,81
"25",11,1,2,3,7,0.17,81
"25",11,1,3,3,8,0.12,92
"25",11,1,4,2,7,-0.04,80
"25",11,1,5,3,6,0.12,70
"25",11,1,6,4,6,0.26,71
"25",11,1,7,4,7,0.27,82
"25",11,1,8,4,8,0.15,93
"25",11,1,9,5,7,0.29,83
"25",11,1,10,5,6,0.25,72
"25",11,1,11,6,7,0.2,84
"25",11,1,12,5,8,0.13,94
"25",11,1,13,6,6,0.21,73
"25",11,1,14,4,9,0.01,104
"26",2,2,1,10,8,-0.17,99
"26",2,2,2,6,4,-0.04,51
"26",2,2,3,10,10,-0.4,121
"26",2,2,4,0,6,0.23,67
"26",2,2,5,0,9,-0.13,100
"26",2,2,6,0,0,0.04,1
"26",2,2,7,2,6,0.36,69
"26",2,2,8,3,6,0.21,70
"26",2,2,9,2,4,0.2,47
"26",2,2,10,2,5,0.29,58
"26",2,2,11,2,7,0.28,80
"26",2,2,12,2,8,-0.01,91
"26",2,2,13,2,3,0.14,36
"26",2,2,14,3,7,0.18,81
"27",18,1,1,7,4,-0.43,52
"27",18,1,2,3,6,-0.02,70
"27",18,1,3,1,6,-0.01,68
"27",18,1,4,5,6,-0.03,72
"27",18,1,5,3,8,0.12,92
"27",18,1,6,3,9,0.05,103
"27",18,1,7,3,7,0.09,81
"27",18,1,8,2,8,0.02,91
"27",18,1,9,4,8,0.22,93
"27",18,1,10,5,8,0.25,94
"27",18,1,11,6,8,0.35,95
"27",18,1,12,7,8,0.41,96
"27",18,1,13,8,8,0.51,97
"27",18,1,14,2,7,0.02,80
"28",4,2,1,1,4,-0.03,46
"28",4,2,2,3,5,0.06,59
"28",4,2,3,5,8,-0.11,94
"28",4,2,4,5,3,0.16,39
"28",4,2,5,5,1,0.26,17
"28",4,2,6,4,0,0.27,5
"28",4,2,7,3,1,0.04,15
"28",4,2,8,4,2,0.08,27
"28",4,2,9,6,0,0.16,7
"28",4,2,10,8,1,0.2,20
"28",4,2,11,8,3,0.37,42
"28",4,2,12,8,4,0.27,53
"28",4,2,13,8,5,0.08,64
"28",4,2,14,9,3,0.17,43
"29",15,1,1,3,7,0.36,81
"29",15,1,2,2,6,0.24,69
"29",15,1,3,2,8,0.1,91
"29",15,1,4,4,8,0.24,93
"29",15,1,5,4,7,0.35,82
"29",15,1,6,3,8,0.19,92
"29",15,1,7,3,6,0.3,70
"29",15,1,8,4,6,0.26,71
"29",15,1,9,5,6,0.15,72
"29",15,1,10,5,7,0.31,83
"29",15,1,11,6,7,0.2,84
"29",15,1,12,4,2,0.02,27
"29",15,1,13,9,4,-0.22,54
"29",15,1,14,10,10,0.28,121
"30",7,2,1,6,5,-0.12,62
"30",7,2,2,0,0,-0.11,1
"30",7,2,3,10,0,0.12,11
"30",7,2,4,10,1,-0.01,22
"30",7,2,5,9,0,0.18,10
"30",7,2,6,10,10,0.38,121
"30",7,2,7,9,9,-0.03,109
"30",7,2,8,9,10,0.19,120
"30",7,2,9,8,10,-0.12,119
"30",7,2,10,10,9,0.13,110
"30",7,2,11,10,8,0.02,99
"30",7,2,12,0,10,-0.11,111
"30",7,2,13,2,8,-0.32,91
"30",7,2,14,5,5,-0.18,61
"32",14,2,1,2,6,-0.11,69
"32",14,2,2,2,6,-0.14,69
"32",14,2,3,2,5,0.02,58
"32",14,2,4,2,4,0.25,47
"32",14,2,5,2,3,0.36,36
"32",14,2,6,2,2,0.31,25
"32",14,2,7,2,1,0.15,14
"32",14,2,8,2,0,0.11,3
"32",14,2,9,1,2,0.38,24
"32",14,2,10,1,3,0.42,35
"32",14,2,11,0,2,0.5,23
"32",14,2,12,0,3,0.5,34
"32",14,2,13,0,1,0.41,12
"32",14,2,14,5,2,0.06,28
"33",7,1,1,3,5,-0.03,59
"33",7,1,2,5,3,0.01,39
"33",7,1,3,7,6,0.04,74
"33",7,1,4,5,8,-0.48,94
"33",7,1,5,3,1,-0.16,15
"33",7,1,6,7,2,-0.27,30
"33",7,1,7,8,5,0.21,64
"33",7,1,8,9,6,0.47,76
"33",7,1,9,10,6,0.48,77
"33",7,1,10,10,5,0.47,66
"33",7,1,11,10,4,0.25,55
"33",7,1,12,10,7,0.27,88
"33",7,1,13,9,7,0.27,87
"33",7,1,14,10,8,0.02,99
"34",1,2,1,8,9,-0.14,108
"34",1,2,2,5,5,-0.42,61
"34",1,2,3,0,1,-0.13,12
"34",1,2,4,10,1,-0.39,22
"34",1,2,5,8,3,-0.35,42
"34",1,2,6,6,10,-0.12,117
"34",1,2,7,3,10,0.06,114
"34",1,2,8,2,10,0.16,113
"34",1,2,9,0,10,0.08,111
"34",1,2,10,2,9,0.31,102
"34",1,2,11,2,8,0.43,91
"34",1,2,12,2,7,0.3,80
"34",1,2,13,2,8,0.41,91
"34",1,2,14,0,8,0.32,89
"35",13,1,1,8,3,0.19,42
"35",13,1,2,9,4,0.17,54
"35",13,1,3,7,2,0.08,30
"35",13,1,4,7,4,0.04,52
"35",13,1,5,9,2,0.39,32
"35",13,1,6,10,1,0.26,22
"35",13,1,7,10,2,0.48,33
"35",13,1,8,10,3,0.43,44
"35",13,1,9,9,1,0.21,21
"35",13,1,10,9,3,0.37,43
"35",13,1,11,10,2,0.5,33
"35",13,1,12,10,2,0.52,33
"35",13,1,13,10,2,0.5,33
"35",13,1,14,8,2,0.2,31
"37",7,1,1,10,3,0.02,44
"37",7,1,2,9,3,-0.07,43
"37",7,1,3,10,2,-0.06,33
"37",7,1,4,10,4,0.25,55
"37",7,1,5,10,5,0.47,66
"37",7,1,6,10,6,0.51,77
"37",7,1,7,10,7,0.27,88
"37",7,1,8,9,6,0.46,76
"37",7,1,9,8,6,0.3,75
"37",7,1,10,8,5,0.21,64
"37",7,1,11,9,5,0.37,65
"37",7,1,12,9,4,0.12,54
"37",7,1,13,8,4,-0.04,53
"37",7,1,14,9,8,-0.01,98
"39",8,1,1,7,0,0.14,8
"39",8,1,2,7,1,0.19,19
"39",8,1,3,7,2,0.14,30
"39",8,1,4,6,0,0.06,7
"39",8,1,5,8,0,0.21,9
"39",8,1,6,9,0,0.29,10
"39",8,1,7,10,0,0.32,11
"39",8,1,8,10,1,0.32,22
"39",8,1,9,10,2,0.23,33
"39",8,1,10,9,1,0.35,21
"39",8,1,11,8,1,0.29,20
"39",8,1,12,9,2,0.25,32
"39",8,1,13,8,2,0.23,31
"39",8,1,14,1,2,0.22,24
"40",1,2,1,7,9,-0.24,107
"40",1,2,2,3,4,-0.49,48
"40",1,2,3,0,1,-0.14,12
"40",1,2,4,5,0,0.08,6
"40",1,2,5,6,1,0.01,18
"40",1,2,6,7,3,-0.28,41
"40",1,2,7,9,0,-0.28,10
"40",1,2,8,10,4,-0.09,55
"40",1,2,9,1,9,0.37,101
"40",1,2,10,0,10,0.05,111
"40",1,2,11,0,9,0.26,100
"40",1,2,12,1,8,0.5,90
"40",1,2,13,0,8,0.31,89
"40",1,2,14,0,3,-0.17,34
"41",11,1,1,4,2,0.36,27
"41",11,1,2,3,2,0.18,26
"41",11,1,3,4,1,0.12,16
"41",11,1,4,5,2,0.47,28
"41",11,1,5,5,3,0.4,39
"41",11,1,6,6,2,0.5,29
"41",11,1,7,6,1,0.48,18
"41",11,1,8,7,2,0.46,30
"41",11,1,9,7,3,0.23,41
"41",11,1,10,6,3,0.32,40
"41",11,1,11,7,1,0.51,19
"41",11,1,12,8,1,0.37,20
"41",11,1,13,8,0,0.19,9
"41",11,1,14,8,3,0.16,42
"42",15,2,1,2,4,0.13,47
"42",15,2,2,1,2,-0.06,24
"42",15,2,3,1,7,0.06,79
"42",15,2,4,6,8,0.2,95
"42",15,2,5,8,6,0.01,75
"42",15,2,6,6,4,-0.34,51
"42",15,2,7,9,1,-0.41,21
"42",15,2,8,8,9,0.36,108
"42",15,2,9,9,9,0.27,109
"42",15,2,10,8,8,0.25,97
"42",15,2,11,8,10,0.49,119
"42",15,2,12,7,10,0.26,118
"42",15,2,13,8,10,0.49,119
"42",15,2,14,4,0,0.39,5
"43",18,1,1,1,5,-0.01,57
"43",18,1,2,8,2,-0.3,31
"43",18,1,3,7,9,0.33,107
"43",18,1,4,7,8,0.41,96
"43",18,1,5,7,7,0.31,85
"43",18,1,6,7,6,0.04,74
"43",18,1,7,8,7,0.46,86
"43",18,1,8,8,8,0.49,97
"43",18,1,9,9,8,0.44,98
"43",18,1,10,9,9,0.22,109
"43",18,1,11,8,9,0.32,108
"43",18,1,12,8,10,0.13,119
"43",18,1,13,9,6,0.31,76
"43",18,1,14,10,8,0.37,99
"44",5,2,1,2,1,0.05,14
"44",5,2,2,2,2,0.21,25
"44",5,2,3,2,3,0.37,36
"44",5,2,4,2,4,0.36,47
"44",5,2,5,1,3,-0.01,35
"44",5,2,6,3,3,0.49,37
"44",5,2,7,4,3,0.36,38
"44",5,2,8,3,4,0.38,48
"44",5,2,9,3,2,0.37,26
"44",5,2,10,4,4,0.23,49
"44",5,2,11,3,5,0.24,59
"44",5,2,12,3,1,0.21,15
"44",5,2,13,4,2,0.39,27
"44",5,2,14,0,1,-0.4,12
"45",9,1,1,9,9,0.19,109
"45",9,1,2,9,8,0.11,98
"45",9,1,3,8,9,0.14,108
"45",9,1,4,9,10,0.33,120
"45",9,1,5,8,10,0.27,119
"45",9,1,6,7,10,0.29,118
"45",9,1,7,6,10,0.28,117
"45",9,1,8,5,10,0.26,116
"45",9,1,9,4,10,0.28,115
"45",9,1,10,10,10,0.47,121
"45",9,1,11,10,9,0.27,110
"45",9,1,12,10,8,0.12,99
"45",9,1,13,7,9,0.17,107
"45",9,1,14,4,8,0.11,93
"46",15,2,1,7,5,-0.11,63
"46",15,2,2,4,1,0.25,16
"46",15,2,3,3,0,0.37,4
"46",15,2,4,3,1,0.27,15
"46",15,2,5,2,0,0.19,3
"46",15,2,6,2,1,0.1,14
"46",15,2,7,4,0,0.4,5
"46",15,2,8,5,0,0.24,6
"46",15,2,9,4,0,0.39,5
"46",15,2,10,3,0,0.38,4
"46",15,2,11,4,0,0.38,5
"46",15,2,12,5,1,0.1,17
"46",15,2,13,3,0,0.36,4
"46",15,2,14,4,2,0.03,27
"47",7,1,1,7,1,-0.21,19
"47",7,1,2,7,8,-0.3,96
"47",7,1,3,2,8,-0.34,91
"47",7,1,4,2,2,0.23,25
"47",7,1,5,2,1,0.1,14
"47",7,1,6,2,3,0.22,36
"47",7,1,7,2,4,0.13,47
"47",7,1,8,3,3,0.09,37
"47",7,1,9,1,3,0.25,35
"47",7,1,10,1,2,0.32,24
"47",7,1,11,0,2,0.06,23
"47",7,1,12,0,3,0.07,34
"47",7,1,13,7,4,-0.17,52
"47",7,1,14,4,2,-0.09,27
"49",13,1,1,5,4,0.08,50
"49",13,1,2,6,5,0.11,62
"49",13,1,3,6,4,0.07,51
"49",13,1,4,6,3,0.01,40
"49",13,1,5,5,3,-0.04,39
"49",13,1,6,4,3,-0.13,38
"49",13,1,7,4,4,0.01,49
"49",13,1,8,4,5,-0.01,60
"49",13,1,9,5,5,0.07,61
"49",13,1,10,10,10,-0.01,121
"49",13,1,11,8,8,-0.12,97
"49",13,1,12,3,9,0.02,103
"49",13,1,13,0,9,-0.39,100
"49",13,1,14,10,9,0.13,110
"50",5,2,1,5,9,-0.03,105
"50",5,2,2,5,8,0.17,94
"50",5,2,3,4,7,0.19,82
"50",5,2,4,4,8,0.1,93
"50",5,2,5,5,7,0.26,83
"50",5,2,6,5,6,0.14,72
"50",5,2,7,4,6,0.12,71
"50",5,2,8,2,4,0.37,47
"50",5,2,9,2,3,0.36,36
"50",5,2,10,1,3,0,35
"50",5,2,11,2,2,0.2,25
"50",5,2,12,3,2,0.39,26
"50",5,2,13,3,1,0.23,15
"50",5,2,14,1,2,-0.11,24
"52",17,2,1,1,10,-0.2,112
"52",17,2,2,3,8,0.32,92
"52",17,2,3,4,8,0.07,93
"52",17,2,4,2,8,0.36,91
"52",17,2,5,1,8,0.2,90
"52",17,2,6,2,7,0.5,80
"52",17,2,7,2,6,0.46,69
"52",17,2,8,3,6,0.27,70
"52",17,2,9,3,7,0.39,81
"52",17,2,10,3,5,0.07,59
"52",17,2,11,4,6,-0.05,71
"52",17,2,12,4,7,0.07,82
"52",17,2,13,1,6,0.34,68
"52",17,2,14,0,7,0.03,78
"53",14,1,1,0,5,0.2,56
"53",14,1,2,1,5,0.12,57
"53",14,1,3,0,4,0.33,45
"53",14,1,4,1,4,0.3,46
"53",14,1,5,0,3,0.48,34
"53",14,1,6,1,3,0.43,35
"53",14,1,7,0,2,0.5,23
"53",14,1,8,1,2,0.38,24
"53",14,1,9,0,1,0.41,12
"53",14,1,10,1,1,0.25,13
"53",14,1,11,0,0,0.36,1
"53",14,1,12,1,0,0.21,2
"53",14,1,13,2,0,0.11,3
"53",14,1,14,4,2,0.19,27
"54",10,2,1,5,4,0.17,50
"54",10,2,2,4,6,-0.07,71
"54",10,2,3,4,5,0.16,60
"54",10,2,4,4,4,0.35,49
"54",10,2,5,3,4,0.41,48
"54",10,2,6,2,4,0.37,47
"54",10,2,7,1,4,0.13,46
"54",10,2,8,0,4,-0.13,45
"54",10,2,9,6,4,-0.1,51
"54",10,2,10,5,3,0.21,39
"54",10,2,11,4,3,0.42,38
"54",10,2,12,3,3,0.48,37
"54",10,2,13,2,3,0.33,36
"54",10,2,14,2,6,0.02,69
"55",15,1,1,8,9,0.37,108
"55",15,1,2,8,9,0.37,108
"55",15,1,3,7,9,0.26,107
"55",15,1,4,7,8,0.25,96
"55",15,1,5,8,8,0.25,97
"55",15,1,6,8,10,0.5,119
"55",15,1,7,9,10,0.47,120
"55",15,1,8,9,9,0.26,109
"55",15,1,9,8,10,0.49,119
"55",15,1,10,7,10,0.26,118
"55",15,1,11,10,10,0.25,121
"55",15,1,12,10,9,0.07,110
"55",15,1,13,9,8,0.12,98
"55",15,1,14,6,9,0.05,106
"56",18,2,1,3,10,-0.1,114
"56",18,2,2,3,10,-0.1,114
"56",18,2,3,3,9,0.05,103
"56",18,2,4,3,8,0.13,92
"56",18,2,5,3,7,0.1,81
"56",18,2,6,3,6,0.01,70
"56",18,2,7,3,5,-0.18,59
"56",18,2,8,2,6,-0.01,69
"56",18,2,9,2,7,0,80
"56",18,2,10,2,8,0,91
"56",18,2,11,4,8,0.2,93
"56",18,2,12,4,7,0.14,82
"56",18,2,13,5,8,0.25,94
"56",18,2,14,4,9,0.18,104
"58",2,2,1,3,7,0.18,81
"58",2,2,2,4,6,0.12,71
"58",2,2,3,2,8,-0.02,91
"58",2,2,4,3,8,-0.05,92
"58",2,2,5,4,8,0.12,93
"58",2,2,6,2,6,0.35,69
"58",2,2,7,1,5,0.25,57
"58",2,2,8,1,6,0.39,68
"58",2,2,9,2,5,0.28,58
"58",2,2,10,3,6,0.22,70
"58",2,2,11,1,6,0.38,68
"58",2,2,12,0,6,0.24,67
"58",2,2,13,0,7,0.28,78
"58",2,2,14,10,1,0.31,22
"60",5,2,1,5,2,0.34,28
"60",5,2,2,5,4,0.13,50
"60",5,2,3,4,6,0.13,71
"60",5,2,4,3,6,0.18,70
"60",5,2,5,1,8,0.01,90
"60",5,2,6,0,8,0.2,89
"60",5,2,7,0,4,-0.3,45
"60",5,2,8,0,10,0.12,111
"60",5,2,9,8,10,-0.12,119
"60",5,2,10,9,10,-0.03,120
"60",5,2,11,9,0,0.14,10
"60",5,2,12,8,0,0.32,9
"60",5,2,13,7,0,0.45,8
"60",5,2,14,2,7,0.07,80
"61",1,1,1,7,1,-0.05,19
"61",1,1,2,3,7,-0.01,81
"61",1,1,3,9,7,-0.23,87
"61",1,1,4,1,3,-0.31,35
"61",1,1,5,3,6,-0.25,70
"61",1,1,6,9,3,-0.33,43
"61",1,1,7,4,1,-0.18,16
"61",1,1,8,5,9,-0.26,105
"61",1,1,9,6,8,-0.33,95
"61",1,1,10,3,8,0.13,92
"61",1,1,11,3,9,0.11,103
"61",1,1,12,2,8,0.4,91
"61",1,1,13,1,8,0.5,90
"61",1,1,14,2,7,0.29,80
"62",4,2,1,6,7,-0.36,84
"62",4,2,2,2,2,-0.15,25
"62",4,2,3,9,2,0.25,32
"62",4,2,4,2,8,0.14,91
"62",4,2,5,5,2,0.24,28
"62",4,2,6,7,5,0.08,63
"62",4,2,7,9,5,-0.01,65
"62",4,2,8,9,9,-0.01,109
"62",4,2,9,3,5,0.06,59
"62",4,2,10,8,1,0.22,20
"62",4,2,11,9,1,0.21,21
"62",4,2,12,8,2,0.34,31
"62",4,2,13,7,2,0.42,30
"62",4,2,14,9,0,0.14,10
"65",16,1,1,9,8,-0.03,98
"65",16,1,2,9,7,0.08,87
"65",16,1,3,8,7,0.13,86
"65",16,1,4,8,5,0.09,64
"65",16,1,5,8,6,0.18,75
"65",16,1,6,7,6,0.17,74
"65",16,1,7,7,7,0.08,85
"65",16,1,8,7,5,0.13,63
"65",16,1,9,6,6,0.07,73
"65",16,1,10,9,6,0.07,76
"65",16,1,11,9,5,-0.04,65
"65",16,1,12,6,5,0.08,62
"65",16,1,13,6,4,-0.02,51
"65",16,1,14,1,10,0.06,112
"66",8,2,1,6,10,-0.3,117
"66",8,2,2,2,4,0.12,47
"66",8,2,3,1,3,0.18,35
"66",8,2,4,2,3,0.15,36
"66",8,2,5,1,2,0.22,24
"66",8,2,6,0,2,0.28,23
"66",8,2,7,0,3,0.19,34
"66",8,2,8,0,1,0.42,12
"66",8,2,9,0,0,0.49,1
"66",8,2,10,1,0,0.35,2
"66",8,2,11,1,1,0.33,13
"66",8,2,12,2,0,0.22,3
"66",8,2,13,2,1,0.27,14
"66",8,2,14,8,4,0.19,53
"67",14,1,1,6,7,0.05,84
"67",14,1,2,3,4,0.1,48
"67",14,1,3,6,2,0.04,29
"67",14,1,4,1,7,-0.15,79
"67",14,1,5,8,4,-0.14,53
"67",14,1,6,5,5,-0.38,61
"67",14,1,7,0,0,0.34,1
"67",14,1,8,0,1,0.38,12
"67",14,1,9,0,2,0.51,23
"67",14,1,10,0,2,0.48,23
"67",14,1,11,0,2,0.51,23
"67",14,1,12,0,2,0.51,23
"67",14,1,13,0,2,0.52,23
"67",14,1,14,1,0,0.23,2
"70",3,2,1,5,0,-0.24,6
"70",3,2,2,5,7,-0.24,83
"70",3,2,3,1,7,-0.06,79
"70",3,2,4,3,3,0.2,37
"70",3,2,5,4,3,0.12,38
"70",3,2,6,3,4,0.26,48
"70",3,2,7,4,4,0.21,49
"70",3,2,8,4,5,0.14,60
"70",3,2,9,5,5,-0.1,61
"70",3,2,10,2,3,0.35,36
"70",3,2,11,2,4,0.3,47
"70",3,2,12,2,5,0.19,58
"70",3,2,13,2,2,0.22,25
"70",3,2,14,10,10,0.11,121
"71",6,1,1,7,6,0.17,74
"71",6,1,2,7,7,0.04,85
"71",6,1,3,8,5,0.19,64
"71",6,1,4,7,5,0.19,63
"71",6,1,5,8,4,0.15,53
"71",6,1,6,7,4,0.21,52
"71",6,1,7,6,4,0,51
"71",6,1,8,7,3,0.21,41
"71",6,1,9,7,2,0.18,30
"71",6,1,10,6,3,-0.03,40
"71",6,1,11,8,3,0.16,42
"71",6,1,12,8,2,0.1,31
"71",6,1,13,7,3,0.18,41
"71",6,1,14,8,6,0.22,75
"74",19,2,1,6,7,0.1,84
"74",19,2,2,1,1,-0.03,13
"74",19,2,3,1,9,-0.23,101
"74",19,2,4,10,9,0.37,110
"74",19,2,5,10,8,0.28,99
"74",19,2,6,8,9,0.06,108
"74",19,2,7,9,2,-0.05,32
"74",19,2,8,10,1,-0.11,22
"74",19,2,9,5,1,0.21,17
"74",19,2,10,5,3,0.26,39
"74",19,2,11,2,4,-0.09,47
"74",19,2,12,3,7,0.28,81
"74",19,2,13,3,2,0.06,26
"74",19,2,14,1,6,-0.24,68
"75",10,1,1,2,7,-0.1,80
"75",10,1,2,2,2,0.33,25
"75",10,1,3,1,2,0.01,24
"75",10,1,4,2,0,0.4,3
"75",10,1,5,2,1,0.36,14
"75",10,1,6,3,2,0.49,26
"75",10,1,7,3,1,0.49,15
"75",10,1,8,3,0,0.45,4
"75",10,1,9,4,2,0.42,27
"75",10,1,10,4,1,0.4,16
"75",10,1,11,4,0,0.31,5
"75",10,1,12,3,3,0.47,37
"75",10,1,13,2,3,0.32,36
"75",10,1,14,5,1,0.12,17
"76",10,2,1,10,6,-0.25,77
"76",10,2,2,8,7,-0.25,86
"76",10,2,3,9,6,-0.35,76
"76",10,2,4,10,4,-0.22,55
"76",10,2,5,6,9,0.04,106
"76",10,2,6,5,8,0.07,94
"76",10,2,7,4,7,-0.11,82
"76",10,2,8,7,10,-0.24,118
"76",10,2,9,5,10,0.21,116
"76",10,2,10,4,10,0.33,115
"76",10,2,11,3,10,0.32,114
"76",10,2,12,2,10,0.33,113
"76",10,2,13,1,10,0.34,112
"76",10,2,14,0,2,-0.29,23
"77",11,1,1,3,7,0.16,81
"77",11,1,2,0,0,-0.31,1
"77",11,1,3,0,8,-0.34,89
"77",11,1,4,10,7,0.31,88
"77",11,1,5,10,1,-0.14,22
"77",11,1,6,10,8,0.2,99
"77",11,1,7,9,6,0.35,76
"77",11,1,8,8,5,0.12,64
"77",11,1,9,9,5,0.21,65
"77",11,1,10,5,3,0.4,39
"77",11,1,11,5,2,0.48,28
"77",11,1,12,5,1,0.39,17
"77",11,1,13,5,2,0.45,28
